lemmata,text
ТАРБИ́ЙА,III (-а́) воспитание; богу тарбийа хорошее воспитание; тарбийа гобусо къала невоспитанные дети; къалал тарбийа тылIа воспитывать детей
ТАРИ́Х,"III (-о́, -бо, -за́) 1) цифра; гьаᴴдас тарих цифра единица 2) дата; гьеIмаIкьа тарих голи на могильной плите высечена дата (рождения и смерти) 3) перен. история; илул илоч тарих бикъа бувок мы должны знать свою историю"
ТА́РПА,"1 III (-а́, -а́ба, -аза́) 1) подушка (для седла) 2) подушки для детской люльки"
ТА́РПА,"2 III (-а́, -а́ба, -аза́) 1) женская сумка (из ткани) 2) шкатулка (для хранения пуговиц, катушек, мулине); цетIобо тарпама голи пуговицы в тряпочной шкатулке (есть) 3) торба; сорул кIалцIи тарпама тылIа дать коню корм (овёс, ячмень) в торбе 4) устар. конверт, пакет; бустан тарпама голи книга бустан находится в тряпочном конверте (пакете) ♦ тарпамал сискIлинин кулун с торбой (с обедом) (букв. в торбу лепёшку бросив)"
ТАРХЪА́Н,"III (-и) освобождение; тархъан бийа освобождать, освободить; выпускать кого-л. (из заточения); илба тархъан йийа выпустить (на волю) голубя; лагъ тархъан ийа освободить раба; гъиIнаба тархъан бийа раскрепостить женщин"
ТАРХЪАНЛЪА́,"(тархъаны́лълъе, тархъанлъи́, тархъанлъы́н тархъанлъāй, тархъанлъа) 1) освобождаться, освободиться; ило тархъанлъи тушманла лагълъикьоз мы освободились (избавились) от вражеского гнета (рабства) 2) эмансипироваться; раскрепощаться, раскрепоститься; избавляться, избавиться от чего-л."
ТАРХЪАНЛЪАКIВА́,"// ТАРХЪАНЛЪО­КIА́ (тархъанлъа́кIвше // тархъанлъо́­кI­ше, тархъанлъакIви́ //тархъанлъокIи́, тархъанлъакIу́н//тархъанлъокIу́н, тархъанлъакIвāй//тархъанлъокIōй, та́рхъанлъакIва//та́рхъанлъокIо) 1) освобождать, освободить 2) эмансипировать; раскрепощать, раскрепостить; избавлять, избавить от чего-л."
ТАРХЪАНЛЪАКIВАХКIА́,"(тархъан­лъакIваху́кIше, тархъанлъакIвахкIи́, тархъанлъакIвахкIы́н, тархъанлъакIвахкIāй, та́рхъанлъакIвахкIа) понуд. II от гл. тархъанлъохкIа́"
ТАРХЪАНЛЪАКIВАХУ́КIНУ,понуд. масд. от гл. тархъанлъакIвахкIа́
ТАРХЪАНЛЪА́КIНУ,// ТАРХЪАНЛЪО́­КI­НУ масд. от гл. тархъанлъакIва// тархъанлъокIа́
ТАРХЪАНЛЪОХКIА́,"(тархъанлъоху́кIше, тархъанлъохкIи́, тархъанлъох­кIу́н тархъанлъохкIōй, та́рхъанлъохкIо) понуд. от гл. тархъанлъакIва́ // тархъан­лъокIа́; см. тархъанлъакIвахкIа́"
ТАРХЪАНЛЪОХУ́КIНУ,понуд. масд. от гл. тархъанлъохкIа́
ТАРХЪАНЫ́ЛЪНУ,1. масд. от гл. тархъанлъа́ 2. 1) освобождение 2) эмансипация
ТАРХЪИ́-БЫХЪА,IV (-а́) большая сенокосная поляна (на солнечной стороне); тархъи-быхъа голи хана лIухун косить осталось ещё большая поляна
ТАС,"IV (-и́, -ба, -за́) тазик, таз; паласмасыс тас таз из пластмассы; кылыс тас металлический (железный) таз; тасма къала ысана искупать ребенка в тазике"
ТАСАМАХIА́Б,"(мн. -тIа) 1) халатный; безразличный ко всему; тасамахIав гьикIо халатный мужчина; тасамахIай гъиIне халатная женщина; тасамахIаб гьадан халатные люди 2) нерадивый; тасамахIар гьимон нерадивое дело; ср.: тасамахIав, тасамахIай, тасамахIар"
ТАСАМА́ХIЛЪИ,"IV (-и́) 1) халатность, попустительство; тасамахIлъи лакхва проявить халатность; исукьо тIаддар гьимон тасамахIлъикьо ийа выполнить свои обязанности халатно 2) нерадивость"
ТАСТА́Р,"III (-и́, -ба, -за́) кружевной платок; кружевная шаль; дийо баба кIишекьо йагьи тастарын гулун моя мама станцевала в кружевной шали"
ТАСТИ́КЪ,III (-и́) 1) утверждение; хIукму тастикъ бӣ решение одобрено (//утверждено) 2) ратификация; тастикъ лийа а) утверждать 2) ратифицировать;
ТАТАЙА́,"(тата́ше, татайи́, татайи́н, татайāй, та́тайа) учащ. от гл. тайа́"
ТАТА́НУ,учащ. масд. от гл. татайа́
ТАТАР,1: тата́р мыц татарский язык; татар гьадам татары
ТАТА́Р,2: тата́р байда́н большая поляна; большое поле (букв. татарский майдан); татар байданцев гъуIдуIл ито лъийокъ? когда закончится работа на таком большом поле?
ТАТА́РЗА,мн. (-а́) татары
ТАТАРЦЕ́ВТАТАРЦЕ́ГУ,очень большой; огромный; татарцев кIази очень большой платок; татарцев майдан огромная площадь (поле)
ТАТАРИЙЕ́С,татарский; татарийес гьикIо татарин; татарийес гъиIне татарка; татарийес мыц татарский язык; татарийес голи ило гьамагъе наш знакомый товарищ татарин (есть); см. тата́р
ТАТАХКIА́,"(татахы́кIше, татахкIи́, татахкIы́н, татахкIāй, та́тахкIа) учащ. понуд. от гл. тахкIа́"
ТАТАХЫ́КIНУ,учащ. масд. от гл. татахкIа́
ТА́ТИ,"III (-и́, -и́ба, -за́) чуду (из мяса, сыра, картошки) (хварш.); кIорас татиба чуду с сыром; лилIас татиба чуду с мясом; татиба лува приготовить чуду; см. инх. бу́шне"
ТА́ТУ,"III (-у́) 1) сила; тату гобусо а) беспомощный б) больной, хилой; тату бугьа терять силу (стать нетрудоспособным); илул гьунема тату гобусо уже ыси мы на дороге встретили больного мальчика; тату гобусо йуIкъуIчIехъо гьимон лехъунай беспомощная старуха не смогла помочь 2) толк, польза, прок; йелIибо дийо тату бугьун в этом году я стал(а) слабым(-ой); ило тату бехъбу хIалтIис нам не было прока от работы; илъес тату гоби она недомогает"
ТАХ,"1 III (-и́, -ба, -за́) 1) деревянная кровать, тахта (обточенная на станке) (хварш.); тахкьо ахъа лежать на тахте; тахкьа кабку бува совершить намаз на деревянной кровати; см. инх. ма́нги"
ТАХ,"2 IV (-и́, -ба, -за́) трон, престол; тахкьа хан йолълъо къуду йеча сесть как царь на троне"
ТАХКIА́,"(тахы́кIше, тахкIи́, тахкIы́н, тахāкI, та́хкIа) 1) дырявить, протирать (до дыр); кIотIе тахкIа продырявить таз; йоргъан тахкIин стеганое одеяло продырявилось 2) сверлить что-л.; проколоть; гьакъибо тахкIа просверлить большие каменные глыбы; бердубо тахкIа скалы просверлить; см. тайа́"
ТАХКIАХКIА́,"(тахкIахы́кIше, тахкIахкIи́, тахкIахкIы́н, тахкIахкIāй, та́хкIахкIа) понуд. от гл. тахкIа́"
ТАХКIАХЫ́КIНУ,понуд. масд. от гл. тахкIахкIа́
ТА́ХТА,"1 III (-а́, -а́ба, -аза́) смушка, мерлушка; тахтас гъебила папаха из мерлушки"
ТА́ХТА,"2 IV (-а́, -а́ба, -аза́) лист (железа, стекла); матIус тахта лист стекла; килусо тахта лист железа"
ТА́ХШАГЬАР,"III (-и́, -ба, -за́) столица; ило тахшагьар МахIачхъала голи наша столица Махачкала (есть); голлосыч тахшагьарба берциналтIа голи у всех столицы красивые (есть)"
ТАХЫ́КIНУ,1. масд. от гл. тахкIа́ 2. 1) протирание 2) сверление; прокалывание; протыкание
ТĀБА,"III (-а́) рел. покаяние; раскаяние; тāба бийа покаяться; раскаяться; гьобийе исе тāба бӣн теперь он покаялся, раскаялся (сожалел)"
ТА̄ЖИК,"1. I, II (-и́, -бо, -за́) таджик; таджичка 2. таджикский; тāжик мыц таджикский язык"
ТА̄ЖИКЗО,мн. (-а́) таджики
ТĀЖИКИЙЕ́С,таджикский; тāжикийес мыц таджикский язык; тāжикийес гьикIо таджик; тāжикийес гъиIне таджичка; дие йаццагьай тāжикийелогьо йегъви моя двоюродная сестра вышла замуж за таджика
ТВАР-ТВА́ЛИ,IV (-и́) невыразительная (с дефектом) непонятная речь; илъес твар-твали бичIчIидате её речь с дефектом не понятна
-ТЕ,"частица отрицания не (напр., не сделаю; не выполню и т.д.); илIате не дам; гохъате не люблю; некъвате не принесу; ухате не приду; де гьиббон лийате я ничего не сделаю (не выполню)"
ТЕГЕ́ЛА,"IV (-а́, -а́ба, -аза́) бешмет (вид старинной верхней одежды); исо тегела голи у него бешмет (есть); гьекI тегелаба шилIлIе лечи раньше одевали тегелу (бешмет)"
ТЕЛ,"IV (-и́) уст. 1) телеграмма; хехуб тел срочная телеграмма; тел лекIо ишу лелIлIелIун отправьте (дайте) телеграмму, что мама болеет 2) телеграф; хехуб телкьо ос бештIи деньги отправили по телеграфу 3) телефон; телкьо уна говорить по телефону"
ТЕЛ'ХИДА́,"(тел'хи́дше//тел'хи́шше, тел'хиди́, тел'хиди́н, тел'хидōй, те́л'хидо) 1) испортиться; выйти из строя; лилI гъогъдов чархи тел'хидин мясорубка испортилась; гьунема машина тел'хиди по дороге машина вышла из строя 2) перен. потерять рассудок (разум) 3) перен. делать (совершать) необдуманные поступки; кад тел'хиди дочка стала делать необдуманные вещи"
ТЕЛ'ХИ́ДДУ,прич. 1) испорченный; вышедший из строя; тел'хидду шикьу ысандов (//ысандогу) машина испорченная (вышедшая из строя) стиральная машина; тел'хидду радиву испорченное радио (радиоприемник) 2) перен. потерявший разум; тел'хидду къеIнлъи немыслящаяся родня (не все дома) 3) перен. не следящий за своими поступками)
ТЕЛ'ХИ́ДНУ,"1. масд. от гл. телхида́ 2. 1) поломка, неполадка 2) перен. потеря разума (здравомыслия)"
ТЕЛ'ХИДОКIА́,"(тел'хидо́кIше, тел'хидокIи́, тел'хидокIу́н, тел'хидокIōй, те́л'хидокIо) испортить, вывести из строя (в прям. и перен.)"
ТЕЛ'ХИДО́КIНУ,масд. от гл. тел'хидокIа́
ТЕЛ'ХИДОКIОХКIА́,"(тел'хидокIоху́кIше, тел'хидокIохкIи́, тел'хидокIохкIу́н, тел'хидокIохкIōй, те́л'хидокIохкIо) понуд. II от гл. телхидохкIа́"
ТЕЛ'ХИДОКIОХУ́КIНУ,понуд. масд. от гл. тел'хидокIохкIа
ТЕЛ'ХИДОХКIА́,"(тел'хидоху́кIше, тел'хидохкIи́, тел'хидохкIу́н, тел'хидохкIōй, те́л'хидохкIо) понуд. от гл. телхидокIа́"
ТЕЛ'ХИДОХУ́КIНУ,понуд. масд. от гл. тел'хидохкIа́
ТЕ́РМУС,"IV (-и́, -бо, -за́) термос; чай термусма голи чай в термосе (есть); термусмаз чай гутIа налить чай из термоса"
ТЕРТЕ́ГУ,1) взбитый; тертегу муже взбитая постель 2) переворошенный; тертегу бох переворошенное сено
ТЕРТЕГЬОХКIА́,"(тертегьоху́кIше, тертегьохкIи́, тертегьохкIу́н, тертегьохкIōй, те́ртегьохкIо) понуд.II от гл. тертехкIа́"
ТЕРТЕГЬОХУ́КIНУ,понуд. масд. от гл. тертегьохкIа́
ТЕРТЕЙА́,"(терте́ше, тертейи́, тертейи́н, тертейōй, те́ртейо) 1) взбить, взбивать; хъелIлIигьосо тертейа взбивать (взбить) подушки 2) переворошить что-л.; панпа тертейа переворошить вату"
ТЕРТЕ́НУ,1. масд. от гл. тертейа́ 2. 1) взбивание 2) ворошение; переворашивание
ТЕРТЕХКIА́,"(тертехы́кIше, тертехкIи́, тертехкIы́н, тертехкIōй, те́ртехкIо) понуд. 1) попросить взбивать (взбить) 2) попросить ворошить (переворошить, переворашивать)"
ТЕРТЕХЫ́КIНУ,масд. от гл. тертехкIа́
ТЕХЪИША́Н,"V (-и́, -ба, -за́) рогатка-взбивалка (палочка из таволги с ответвлениями на конце); техъишаныз регъигьа помешать что-л. рогаткой-взбивалкой; квант. техъешан // техъешам"
ТИ́ЗЗО,нареч. после послезавтра; на четвертый день (хварш.)
ТИМА́Р,"III (-и́, -иба, -за́) забота, уход (за лошадью, скотом); богу тимар хороший уход, хорошая забота; тимар бийа ухаживать за животными; сорул тимар бише ухаживает за лошадью; мишзал де цIакъ тимар бийой я хорошо ухаживаю за телятами; квант. темир; хварш. тимир"
ТИ́ПИ-ТА́ПИ,звукоподражание топоту шлепающихся ног; типи-тапигьон багьын ботIкъи пришли с топотом
ТИ́РА,"IV (-а́, -а́ба, -аза́) помёт (собаки, кошки, зверей); зес тира помёт медведя; тирас муше запах испражнения зверей; кIитIи тира кучун кот накакал"
ТИРИДА́,"(тири́дше//тири́шше, тириди́, тириди́н, тиридōй, ти́ридо) 1) гулять, прогуливаться; къала тиришше бечи дети гуляли 2) ходить без цели, разгуливаться; по улицам; къватIаба тирида гулять (слоняться) по улицам (бесцельно) 3) ходить в поисках кого-чего-л. (долго); гъололо жогьо тирида мокIо лIухбу в поисках скота где только не были 4) путешествовать; дунйал тирида путешествовать по свету"
ТИРИ́ДНУ,масд. от гл. тирида́
ТИРИДОКIА́,"(тиридо́кIше, тиридокIи́, тиридокIу́н, тиридокIōй, ти́ридокIо) понуд от гл. тирида́"
ТИРИДО́КIНУ,масд. от гл. тиридокIа́
ТИРИДОКIОХКIА́,"(тиридокIоху́кIше, тиридокIохкIи́, тиридокIохкIу́н, тиридокIохкIōй, ти́ридокIохкIо) понуд. II от гл. тиридохкIа́"
ТИРИДОХКIА́,"(тиридоху́кIше, тиридохкIи́, тиридохкIу́н, тиридохкIōй, ти́ридохкIо) понуд. от гл. тиридокIа́; см. тиридокIохкIа́"
ТИРИДОХУ́КIНУ,понуд. масд. от гл. тиридохкIа́
ТИРИЛЪА́,"(тири́лълъе, тирилъи́, тирилъи́н, тирилъōй, ти́рилъо) быть (стать) проворным (шустрым, расторопным, быстрым); каласмаса ужаба тирилъин голи мальчики в классе стали проворными (шустрыми)"
ТИРИЛЪОКIА́,"(тирилъо́кIше, тирилъокIи́, тирилъокIу́н, тирилъокIōй, ти́рилъокIо) делать проворным (шустрым, расторопным, быстрым)"
ТИРИЛЪО́КIНУ,масд. от гл. тирилъокIа́
ТИРИЛЪОКIОХКIА́,"(тирилъокIоху́кIше, тирилъокIохкIи́, тирилъокIох­кIу́н, тирилъокIохкIōй, ти́рилъокIохкIо) понуд. II от гл. тирилъокIа́"
ТИРИЛЪОКIОХУ́КIНУ,понуд. масд. от гл. тирилъокIохкIа́
ТИРИЛЪОХКIА́,"(тирилъоху́кIше, тирилъохкIи́, тирилъохкIу́н, тирилъохкIōй, ти́рилъохкIо) см. тирилъокIохкIа́"
ТИРИЛЪОХУ́КIНУ,понуд. масд. от гл. тирилъохкIа́
ТИТИ́НУ,"V (-у́, -у́бо, -уза́) нагрудное украшение (невесты в основном из серебряных монет); титину кула надеть (нацепить) нагрудное украшение; илъес берцинай титину йечи у неё было красивое нагрудное украшение"
ТИТИЙА́Н,"IV (-и́) 1) горящие угли 2) горящие угли (в старину сохраненные под золой с кусками древесины, чтобы утром раздуть огонь); кад титийангъал йештIи дочь послали за горящими углями (за огнём); титийанхъа цIо лаккви огонь раздули (дунув на угли)"
ТИТРА́Д,"// ТИТРА́З V (-и́, -ба -за́) тетрадь; мухъзас титрад тетрадь в линию; хIисабыс титрад тетрадь в клетку; оссу титрад (титраз) общая тетрадь; тетрадкьо хъвайа писать на тетради"
ПИШ,"V (-á) дет. пук, пукание; см. хуIте"
ТИШ-ТИШ,"IV (-и́) дет. каша; дубул тиш-тиш лӣ тебе приготовили кашу; гьобо тиш-тиш лацIа иди, кашу кушать"
ТИШДАЙА́,"(тишда́ше, тишдайи́, тишдайи́н, тишдайāй, ти́шдайа) плакать втихомолку (тайком); хныкать; кад тишдаше голи девочка плачет втихомолку"
ТИШДА́НУ,масд. от гл. тишдайа́
ТИШДАКIАХКIА́,"(тишдакIахы́кIше, тишдакIахкIи́, тишдакIахкIы́н, тишда­кIахкIāй, ти́шдакIахкIа) понуд. II от гл. тишдахкIа"
ТИШДАКIАХЫ́КIНУ,понуд. масд. от гл. тишдакIахкIа́
ТИШДАХКIА́,"(тишдахы́кIше, тишдахкIи́, тишдахкIы́н, тишдахкIāй, ти́шдах­кIа) понуд. плакать втихомолку (тайком); хныкать"
ТИШДАХЫ́КIНУ,масд. от гл. тишдахкIа́
ТОК,"III (-и́) ток (электрический), электричество; токус чирахъи электрическая лампа; токус эм электрический столб; ток мегъва провести электричество"
ТО́ЛА,"III (-а́, -а́ба, -аза́) 1) зоол. породистая собака (большая горская мохнатая); абахари тола безын сосед купил породистую собаку 2) перен. беспутник, беспутница; тола олълъу гьикIо беспутник; см. бахIри, борза, гъвеI, хъанда"
ТОНГО́Р,"IV (-и́, -ба, -за́) стрела (оружие)"
ТОНГОША́,"(тонгоша́гьа, тонгоша́, тонгошана́, тонгōш, то́нгоша) сильно перегреться от жары (духоты, от чрезмерно затопленной печи) (хварш.); аᴴхъ тонгошагьа голъе, аᴴц йагъе в комнате жарко (душно), откройте дверь; см. инх. лелIа"
ТОНГО́ШАНУ,масд. от гл. тонгоша́
ТОП,"III (-и́, -бо, -за́) 1) стопка; осус топ стопка денег; титрадзас (титраззас) топ стопка тетрадей 2) рулон; эрешунус топ рулон материала (ткани)"
ТОРДА́,"(тору́дше // тору́шше, торди́, торду́н, торōд, то́рдо) 1) разложиться, разлагаться; картушка тордун картошка разложилась 2) развариться; лилI тордун мясо развварилось 3) разложиться, разлагаться (после смерти – о теле) 4) перен. наболеть (от тягостных переживаний); сожалеть; сочувствовать; ужен угьун ишедыс локIо торди после смерти сына у матери сердце разболело"
ТОРДОКIА́,"(тордо́кIше, тордокIи́, тордокIу́н, тордокIōй, то́рдокIо) 1) гноить, сгноить 2) перен. принести страдания; аᴴгьа кулатев къала обу-ишедыс локIобо тордокIой непослушные дети заставляют страдать (букв. сердца) родителей"
ТОРДО́КIНУ,масд. от гл. тордокIа́
ТОРДОКIОХКIА́,"(тордокIоху́кIше, тордокIохкIи́, тордокIохкIу́н, тордокIохкIōй, то́рдокIохкIо) понуд. II от гл. тордохкÍа́"
ТОРДОКIОХУ́КIНУ,понуд. масд. от гл. тордокIохкIа́
ТОРДОХКIА́,"(тордоху́кIше, тордохкIи́, тордохкIу́н, тордохкIōй, то́рдохкIо) понуд. от гл. тордокÍа́"
ТОРДОХУ́КIНУ,понуд. масд. от гл. тордохкIа
ТОРУ́ДДУ,прич. 1) разваренный 2) разложившийся 3) перен. больной; физически нездоровый (о человеке); торудду лага нездоровое тело
ТОРУ́ДНУ,"1. масд. от гл. торда́ 2. 1) анат. гниение, омертвение (ткани) 2) перен. тягостность"
ТО́ТО,"III (-о, -бо, -за) дет. грудь (для кормящихся детей); тото тылIа дать грудь; кормить грудью; гьобо, гьуᴴ дубул тото иди, вот тебе грудь (молоко)"
ТОТОРОКIА́,"(тоторо́кIше, торокIи́, тоторокIу́н, тоторокIōй, то́торокIо) делать слабым (легко развязывающимся) (об узле); рыкьобо тоторокIа расслабить узлы на плече (при ношении на спине вязанки)"
ТОТОРО́КIНУ,масд. от гл. тоторокIа́
ТОТОРОХА́,"(тоторо́хше, тоторохи́, тотороху́н, тоторохōй, то́торохо) 1) расслабляться, стать (становиться) свободнее; аᴴкIва тоторохун гайка ослабла; качIу тоторохи узел стал слабым; рыкьобо тоторохи лямки на плече (от вязанки) расслабились 2) перен. уступать, поддаваться (уговорам, настояниям)"
ТОТОРОКIОХКIА́,"(тоторокIоху́кIше, тоторокIохкIи́, тоторокIохкIу́н, тоторокIохкIōй, то́торокIохкIо) понуд. II от гл. тоторохкIа́"
ТОТОРОКIОХУ́КIНУ,понуд. масд. от гл. тоторокIохкIа́
ТОТОРОХКIА́,"(тотороху́кIше, тоторохкIи́, тоторохкIу́н, тоторохкIōй, то́торохкIо) понуд. от гл. тоторокIа́"
ТОТОРО́ХНУ,"1. масд. от гл. тотороха́ 2. ослабление (напр., узла) 3) перен. уговоры"
ТОТОРОХУ́КIНУ,понуд. масд. от гл. тоторохкIа́
ТОТО́РУ,"слабый, расслабленный; тотору качIу слабый (не крепкий) узел (легко развязывающийся)"
ТОХЛЪА́,"(тоху́лълъе, тохлъи́, тох­лъу́н, тохōлъ, то́хлъо) 1) ослабиться, ослабливаться; расслабливаться, расслабиться; илъес цIали тохлъун она стала слабо учиться 2) зевать, прозевать 3) упускать (упустить) из виду; ило тохлъи мы упустили из виду; дийо тохлъи лехъви это мой промах (моё упущение) или я прозевал (-а) 4) перен.терять бдительность; ахран тохлъун сторож (охран) потерял бдительность 5) перен. ослабиться (перед смертью); йуIкъуIчIе тохлъун бабушка слаба (отходит)"
ТОХЛЪОКIА́,"(тохлъо́кIше, тохлъокIи́, тохлъокIу́н, тохлъокIōй, то́хлъокIо) 1) ослабить, ослабливать; расслабливать, расслабить 2) зевать, прозевать 3) упускать (упустить) из виду 4) перен. терять бдительность 5) перен. ослабить"
ТОХЛЪО́КIНУ,масд. от гл. тохлъокIа́
ТОХЛЪОКIОХКIА́,"(тохлъокIоху́кIше, тохлъокIохкIи́, тохлъокIохкIу́н, тохлъокIохкIōй, то́хлъокIохкIо) понуд. от гл. тохлъокIа́"
ТОХЛЪОКIОХУ́КIНУ,понуд. масд. от гл. тохлъокIохкIа́
ТОХТУ́Р,"I, II (-и́, -бо, -за́) доктор; врач; сылазас тохтур зубной врач, стоматолог; эзалазас тохтур глазной врач (окулист); тохтурус халат халат врача; гьунар голлу тохтур опытный врач; дийо уже тохтур голи мой сын – врач (есть); см. аᴴсе, варач"
ТОХУ́ЛЪНУ,масд. от гл. тохлъа́
ТО́ШУ,"IV (-а́, -у́бо, -уза́//-аза́) каша; къалас тошу детская каша; тошу лийа делать кашу ♦ тошу лакыхху меньше по возрасту (букв. кашей кормленный); тошалъыл сыл йекIулшекъа до глубокой старости (букв. пока зуб в кашу не выпадет)"
ТОᴴХЪИ́Н,"I, II (-и́, -бо, -за́) вялый, ленивый человек (который ничего не умеет делать)"
ТУ,III (-ла́) рассол; ту бийа делать (приготовить) рассол; кIоро тулалъ гула положить сыр в рассол
ТУ́БИ,"III (туммо́, -и́бо, -иза́) 1) ружьё, винтовка; къуIне кьвагьиддов туби двуствольное ружьё, двустволка; туммос бох порох (букв. сено ружейное); туммос бох атIаму лехъун порох намок; кIыцала туби цолIа выстрелить в птичку из ружья 2) ружье (детское самодельное) ♦ туби цолIа нанести сильную обиду (букв. из ружья стрелять); туммоло кеча бохъхъа сделаться мишенью (подвергаться нападкам) (букв. на дуле ружья держать); туммос къатIал болълъо быстро; вмиг (букв. как пуля; пулей); хварш. тупи"
ТУК,"V (-и, -ко́бо, -коза́) тюк сена или соломы; тукзас машина грузовая машина, груженная тюками сена или соломы"
ТУ́КА,"III (-а́, -а́ба, -аза́) магазин; лавка; ларек; илъес мицIикIи тука голи у неё маленькая лавка (есть); тукакьал эрешун лотIкъи в магазин привезли ткани; тукакьа хIалтIида работать в магазине"
ТУКIА́,"(ту́кIше, тукIи́, тукIу́н, тувōкI ту́кIо) 1) подавать, подать, передавать, передать 2) протягивать, протянуть кого-что-л.; ос тукIа протянуть деньги; эᴴху эссекъун хъалтIа тукIа протянуть жердь (палку) утопающему 3) перен. помогать, помочь, оказывать (оказать) поддержку; бискинзагъал лыкьа тукIа рувок бедным надо протягивать руку (т.е. надо помочь им)"
ТУ́КIКIУ,"прич. протянутый; тукIкIу лыкьа протянутая рука; ужагъал тукIкIу ос деньги, протянутые сыну"
ТУ́КIНУ,1. масд. от гл. тукIа́ 2. 1) протягивание чего-л. кому-л. 2) перен. оказание кому-л. помощи (содействия)
ТУКI-ТУКIА́,"(тукI-ту́кIше, тукI-тукIи́, тукI-тукIу́н, тукI-тувōкI, тукI-ту́кIо) многокр. от гл. тукIа́"
ТУКI-ТУ́КIНУ,многокр. масд. от гл. тукI-тукIа́
ТУКI-ТУКIУКIА́,"(тукI-тукIу́кIше, тукI-тукIукIи́, тукI-тукIукIу́н, тукI-тукIукIōй, тукI-ту́кIукIо) многокр. учащ. от гл. тукIукIа"
ТУКI-ТУКIУ́КIНУ,многокр. учащ. масд. от гл. тукI-тукIукIа́
ТУКI-ТУКIХА́,"(тукI-тукIу́хше, тукI-тукIхи́, тукI-тукIху́н, тукI-тукIōх, тукI-ту́кIхо) многокр. понуд. от гл. тукI-тукIа́"
ТУКI-ТУКIХОХКIА́,"(тукI-тукIхоху́кIше, тукI-тукIхохкIи́, тукI-тукIхохкIу́н, тукI-тукIхохкIōй, тукI-ту́кIхохкIо) многокр. понуд. II от гл. тукI-тукIха́"
ТУКI-ТУКIХОХУ́КIНУ,многокр. понуд. масд. от гл. тукI-тукIхохкIа́
ТУКI-ТУКIУ́ХНУ,многокр. понуд. масд. от гл. тукI-тукIха́
ТУКIУКIА́,"(тукIу́кIше, тукIукIи́, тукIукIу́н, тукIукIōй, ту́кIукIо) учащ. 1) часто давать; йуIкъуIчIе цIохутIа тукIукIōй бабушка часто даёт (напр., деньги); обудло ыстIи дигъол ос тукIукIой дядя часто дает (протягивает, всовывает) мне деньги 2) перен. часто помогать чем-л.; оказывать всяческую поддержку; жиду тукIукIа букку голи они нуждаются в помощи"
ТУКIУ́КIНУ,учащ. масд. от гл. тукIукIа́
ТУКIУКIХА́,"(тукIукIу́хше, тукIукIхи́, тукIукIху́н, тукIукIхōй, ту́кIукIхо) понуд. учащ.от гл. тукIукIа́"
ТУКIУКIУ́ХНУ,понуд. учащ. масд. от гл. тукIукIха́
ТУКIХА́,"(тукIу́хше, тукIхи́, тукIху́н, тукIōх, тукIхо) понуд. заставить (вынудить) кого-л. протягивать (протянуть) что-л. кому-л. 2) перен. заставить кого-л. помогать (помочь) кому-л."
ТУКIУ́ХНУ,масд. от гл. тукIха́
ТУКIХОХКIА́,"(тукIхоху́кIше, тукIхох­кIи́, тукIхохкIу́н, тукIхохкIōй, тукIхохкIо) понуд. II от гл. тукIха́"
ТУКIХОХУ́КIНУ,понуд. масд. от гл. тукIхохкIа́
ТУМА́Р,"IV (-и́, -ба, -за́) уст. женская сумка (в старину); гIурус учитирис тумар лечи у русской учительницы была сумка (женская)"
ТУМЕ́Н,"III (-но́, -бо//-но́бо, -за́//-ноза́) уст. червонец, десять рублей, десятка; гьекI заманакьо эᴴсыс багьа хIоно тумен бечи раньше бык стоил три тумена (тридцать рублей)"
ТУНА́,"(ту́нше, туни́, туну́н, тувōн, ту́но) подтаять (о снеге); эᴴсо тунун снег подтаял; туншесо эᴴсо подтаявшийся снег"
ТУНКА́-ХIУ́НСИ,IV (-и́) стычка; столкновение; обузас тунка-хIунси стычка между мужчинами; ило тунка-хIунси лехъви между нами произошла стычка; см. тунки
ТУ́НКИ,"IV (-и́, -и́бо, -иза́) стычка; столкновение; тунки лехъва стычке случиться (букв. столкнуться); каласла кандазас тунки лехъви у одноклассниц произошла стычка; см. ту́нка-хIунси"
ТУНКИДА́,"(тунки́дше//тунки́шше, тункиди́, тункиди́н, тункидōй, ту́нкидо) 1) стукаться, стукнуться; ударяться об что-л.; биться об что-л.; оIмоIкъебо гьадийадхъа (//гьадийахъхъа) тункиди ишаки стукнулись друг об дружке 2) перен. задевать, задеть кого-л."
ТУНКИ́ДНУ,"1. масд. от гл. тункида́ 2. 1) стукание 2) толчок, толкание 3) перен. задевание кого-л. (обидным словом или разговором)"
ТУНКИДОКIА́,"(тункидо́кIше, тункидокIи́, тункидокIу́н, тункидокIōй, ту́нкидокIо) 1) толкнуть; стукнуть кого-л. об что-л.; хъодолъ тункидокIи стукнуть об стенку 2) перен. задеть; подковырнуть кого-л.; дилон тункидокIи и меня задели; исе дило тункидокIи йу хабар он этим разговором задел меня (обидел меня)"
ТУНКИДО́КIНУ,1. масд. от гл. тункидокIа́ 2. 1) сталкивание 2) перен. язвительное замечание
ТУНКИДОКIОХКIА́,"(тункидокIоху́кIше, тункидокIохкIи́, тункидокIох­кIу́н, тункидокIохкIōй, ту́нкидокIохкIо) понуд. II от гл. тункIидохкIа́"
ТУНКИДОКIОХУ́КIНУ,понуд. масд. от гл. тункидокIохкIа́
